(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_data_parallelism.py --cuda -n final
307446: done 305 games, mean reward -20.370, speed 118.46 f/s
311814: done 306 games, mean reward -20.380, speed 112.79 f/s
312059: done 307 games, mean reward -20.380, speed 186.71 f/s
313034: done 308 games, mean reward -20.370, speed 112.66 f/s
314242: done 309 games, mean reward -20.360, speed 112.07 f/s
316295: done 310 games, mean reward -20.360, speed 116.10 f/s
316934: done 311 games, mean reward -20.360, speed 115.88 f/s
318024: done 312 games, mean reward -20.380, speed 121.14 f/s
318340: done 313 games, mean reward -20.390, speed 96.79 f/s
318647: done 314 games, mean reward -20.390, speed 136.48 f/s
318981: done 315 games, mean reward -20.400, speed 102.30 f/s
320819: done 316 games, mean reward -20.410, speed 118.85 f/s
321669: done 317 games, mean reward -20.420, speed 108.39 f/s
321670: done 318 games, mean reward -20.410, speed 1.00 f/s
322309: done 319 games, mean reward -20.400, speed 112.69 f/s
322661: done 320 games, mean reward -20.400, speed 145.38 f/s
324710: done 321 games, mean reward -20.400, speed 115.06 f/s
325638: done 322 games, mean reward -20.390, speed 107.81 f/s
327030: done 323 games, mean reward -20.410, speed 124.63 f/s
328168: done 324 games, mean reward -20.410, speed 114.90 f/s
328455: done 325 games, mean reward -20.410, speed 91.40 f/s
328948: done 326 games, mean reward -20.410, speed 139.64 f/s
330503: done 327 games, mean reward -20.410, speed 110.11 f/s
330961: done 328 games, mean reward -20.410, speed 132.07 f/s
331615: done 329 games, mean reward -20.420, speed 117.60 f/s
332263: done 330 games, mean reward -20.410, speed 117.18 f/s
332551: done 331 games, mean reward -20.400, speed 89.93 f/s
333168: done 332 games, mean reward -20.410, speed 136.67 f/s
333293: done 333 games, mean reward -20.390, speed 111.14 f/s
333446: done 334 games, mean reward -20.380, speed 74.20 f/s
333831: done 335 games, mean reward -20.400, speed 115.17 f/s
334086: done 336 games, mean reward -20.430, speed 116.60 f/s
335588: done 337 games, mean reward -20.410, speed 122.02 f/s
336261: done 338 games, mean reward -20.400, speed 102.09 f/s
