(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 11>python .\a3c_grad.py.py --cuda -n final
79315: done 76 games, mean reward -20.342, speed 54.55 f/s
79425: done 78 games, mean reward -20.205, speed 54.14 f/s
79431: done 77 games, mean reward -20.351, speed 51.21 f/s
79627: done 77 games, mean reward -20.377, speed 54.18 f/s
79833: done 78 games, mean reward -20.346, speed 56.19 f/s
80079: done 79 games, mean reward -20.354, speed 55.65 f/s
80383: done 80 games, mean reward -20.363, speed 61.00 f/s
80564: done 77 games, mean reward -20.247, speed 55.63 f/s
80644: done 78 games, mean reward -20.372, speed 54.99 f/s
80725: done 78 games, mean reward -20.244, speed 47.94 f/s
80759: done 79 games, mean reward -20.367, speed 74.36 f/s
81055: done 79 games, mean reward -20.253, speed 56.03 f/s
81139: done 80 games, mean reward -20.363, speed 54.54 f/s
81793: done 80 games, mean reward -20.238, speed 53.26 f/s
81969: done 81 games, mean reward -20.370, speed 54.15 f/s
82030: done 81 games, mean reward -20.247, speed 61.92 f/s
82377: done 81 games, mean reward -20.370, speed 53.36 f/s
82541: done 82 games, mean reward -20.354, speed 64.81 f/s
82761: done 82 games, mean reward -20.366, speed 53.09 f/s
82763: done 82 games, mean reward -20.232, speed 53.14 f/s
82766: done 79 games, mean reward -20.215, speed 54.94 f/s
82937: done 83 games, mean reward -20.349, speed 55.59 f/s
83188: done 83 games, mean reward -20.229, speed 57.76 f/s
83216: done 80 games, mean reward -20.212, speed 54.56 f/s
83344: done 83 games, mean reward -20.373, speed 54.80 f/s
83402: done 84 games, mean reward -20.381, speed 50.17 f/s
83674: done 84 games, mean reward -20.238, speed 52.91 f/s
83720: done 81 games, mean reward -20.222, speed 54.13 f/s
83759: done 82 games, mean reward -20.232, speed 113.48 f/s
83851: done 83 games, mean reward -20.217, speed 45.30 f/s
84182: done 84 games, mean reward -20.345, speed 53.63 f/s
84490: done 85 games, mean reward -20.353, speed 53.14 f/s
84537: done 85 games, mean reward -20.235, speed 56.09 f/s
84642: done 85 games, mean reward -20.365, speed 55.43 f/s
84909: done 84 games, mean reward -20.214, speed 55.74 f/s
85073: done 86 games, mean reward -20.326, speed 55.13 f/s
85241: done 85 games, mean reward -20.224, speed 55.93 f/s
85275: done 87 games, mean reward -20.310, speed 56.47 f/s
85859: done 86 games, mean reward -20.244, speed 53.94 f/s
85976: done 88 games, mean reward -20.318, speed 54.46 f/s
86142: done 87 games, mean reward -20.241, speed 58.63 f/s
86559: done 86 games, mean reward -20.233, speed 53.98 f/s
86624: done 87 games, mean reward -20.241, speed 54.75 f/s
87132: done 86 games, mean reward -20.360, speed 54.53 f/s
88102: done 88 games, mean reward -20.216, speed 54.43 f/s
88195: done 89 games, mean reward -20.303, speed 54.53 f/s
88297: done 87 games, mean reward -20.356, speed 55.41 f/s
89097: done 89 games, mean reward -20.213, speed 53.61 f/s
89125: done 88 games, mean reward -20.352, speed 54.58 f/s
89206: done 88 games, mean reward -20.250, speed 55.17 f/s
89542: done 90 games, mean reward -20.300, speed 54.75 f/s
90348: done 91 games, mean reward -20.297, speed 57.01 f/s
90355: done 89 games, mean reward -20.225, speed 54.93 f/s
90535: done 90 games, mean reward -20.233, speed 52.38 f/s
90897: done 89 games, mean reward -20.326, speed 54.48 f/s
90926: done 90 games, mean reward -20.222, speed 55.62 f/s
90952: done 90 games, mean reward -20.322, speed 48.23 f/s
91510: done 91 games, mean reward -20.220, speed 55.68 f/s
91770: done 91 games, mean reward -20.231, speed 55.79 f/s
92391: done 91 games, mean reward -20.330, speed 56.12 f/s
92819: done 92 games, mean reward -20.239, speed 53.76 f/s
93126: done 92 games, mean reward -20.217, speed 53.98 f/s
93572: done 92 games, mean reward -20.326, speed 53.69 f/s
93762: done 93 games, mean reward -20.333, speed 54.79 f/s
93798: done 92 games, mean reward -20.304, speed 54.81 f/s
93968: done 93 games, mean reward -20.301, speed 50.62 f/s
94032: done 94 games, mean reward -20.319, speed 56.12 f/s
94383: done 94 games, mean reward -20.298, speed 57.38 f/s
94885: done 93 games, mean reward -20.237, speed 54.90 f/s
95123: done 94 games, mean reward -20.234, speed 52.00 f/s
95205: done 93 games, mean reward -20.204, speed 55.09 f/s
95289: done 95 games, mean reward -20.316, speed 55.81 f/s
95814: done 95 games, mean reward -20.305, speed 53.95 f/s
96039: done 94 games, mean reward -20.213, speed 55.21 f/s
96185: done 96 games, mean reward -20.323, speed 55.10 f/s
96461: done 95 games, mean reward -20.232, speed 54.87 f/s
96626: done 95 games, mean reward -20.221, speed 55.42 f/s
96645: done 96 games, mean reward -20.302, speed 54.79 f/s
96698: done 97 games, mean reward -20.309, speed 125.66 f/s
96704: done 96 games, mean reward -20.219, speed 63.23 f/s
96893: done 97 games, mean reward -20.227, speed 54.06 f/s
97743: done 98 games, mean reward -20.235, speed 53.40 f/s
97851: done 96 games, mean reward -20.229, speed 55.35 f/s
97869: done 97 games, mean reward -20.330, speed 54.04 f/s
98054: done 98 games, mean reward -20.296, speed 53.72 f/s
98254: done 98 games, mean reward -20.337, speed 54.53 f/s
98382: done 99 games, mean reward -20.303, speed 55.40 f/s
98720: done 100 games, mean reward -20.290, speed 56.49 f/s
98741: done 99 games, mean reward -20.232, speed 55.89 f/s
99008: done 97 games, mean reward -20.227, speed 55.11 f/s
99259: done 101 games, mean reward -20.270, speed 57.51 f/s
99355: done 98 games, mean reward -20.235, speed 51.30 f/s
99517: done 99 games, mean reward -20.242, speed 62.80 f/s
99654: done 100 games, mean reward -20.250, speed 43.85 f/s
99795: done 100 games, mean reward -20.240, speed 54.06 f/s
99903: done 101 games, mean reward -20.240, speed 63.76 f/s
100149: done 102 games, mean reward -20.250, speed 54.51 f/s
100625: done 102 games, mean reward -20.210, speed 53.19 f/s
100767: done 99 games, mean reward -20.323, speed 55.24 f/s
101267: done 100 games, mean reward -20.300, speed 53.98 f/s
101285: done 101 games, mean reward -20.240, speed 55.33 f/s
101367: done 101 games, mean reward -20.290, speed 70.35 f/s
101679: done 102 games, mean reward -20.280, speed 53.98 f/s
101817: done 102 games, mean reward -20.210, speed 56.29 f/s
102039: done 103 games, mean reward -20.260, speed 54.25 f/s
102324: done 103 games, mean reward -20.210, speed 54.18 f/s
102537: done 104 games, mean reward -20.200, speed 49.95 f/s
103272: done 104 games, mean reward -20.260, speed 55.55 f/s
103582: done 105 games, mean reward -20.270, speed 53.49 f/s
103989: done 103 games, mean reward -20.210, speed 55.13 f/s
104050: done 104 games, mean reward -20.210, speed 51.38 f/s
104208: done 105 games, mean reward -20.220, speed 48.63 f/s
104538: done 106 games, mean reward -20.250, speed 54.59 f/s
104858: done 103 games, mean reward -20.270, speed 54.51 f/s
105250: done 106 games, mean reward -20.220, speed 55.22 f/s
105327: done 105 games, mean reward -20.190, speed 55.09 f/s
105335: done 104 games, mean reward -20.260, speed 56.86 f/s
105376: done 106 games, mean reward -20.200, speed 44.18 f/s
105815: done 107 games, mean reward -20.190, speed 54.46 f/s
105848: done 105 games, mean reward -20.260, speed 54.82 f/s
105886: done 106 games, mean reward -20.270, speed 36.86 f/s
106540: done 108 games, mean reward -20.190, speed 55.52 f/s
106597: done 107 games, mean reward -20.280, speed 54.97 f/s
106983: done 107 games, mean reward -20.250, speed 54.80 f/s
106994: done 107 games, mean reward -20.230, speed 54.89 f/s
107582: done 108 games, mean reward -20.260, speed 55.72 f/s
107798: done 109 games, mean reward -20.190, speed 54.01 f/s
108086: done 110 games, mean reward -20.190, speed 58.53 f/s
108579: done 109 games, mean reward -20.270, speed 53.77 f/s
108873: done 108 games, mean reward -20.270, speed 54.24 f/s
108944: done 111 games, mean reward -20.190, speed 53.07 f/s
109252: done 108 games, mean reward -20.230, speed 53.98 f/s
109254: done 110 games, mean reward -20.290, speed 53.29 f/s
109296: done 109 games, mean reward -20.230, speed 122.46 f/s
109401: done 111 games, mean reward -20.300, speed 58.81 f/s
109783: done 109 games, mean reward -20.260, speed 55.01 f/s
109990: done 110 games, mean reward -20.220, speed 54.20 f/s
110794: done 110 games, mean reward -20.260, speed 54.72 f/s
111340: done 112 games, mean reward -20.310, speed 55.22 f/s
111407: done 112 games, mean reward -20.210, speed 55.29 f/s
111689: done 113 games, mean reward -20.290, speed 51.36 f/s
111837: done 111 games, mean reward -20.230, speed 54.79 f/s
112063: done 113 games, mean reward -20.210, speed 55.77 f/s
112151: done 114 games, mean reward -20.210, speed 41.42 f/s
112279: done 114 games, mean reward -20.320, speed 55.54 f/s
112283: done 111 games, mean reward -20.250, speed 55.03 f/s
112626: done 112 games, mean reward -20.250, speed 55.50 f/s
112841: done 112 games, mean reward -20.250, speed 53.55 f/s
113374: done 115 games, mean reward -20.300, speed 55.28 f/s
113571: done 113 games, mean reward -20.280, speed 54.60 f/s
113790: done 113 games, mean reward -20.260, speed 57.26 f/s
113959: done 115 games, mean reward -20.240, speed 55.25 f/s
114371: done 114 games, mean reward -20.300, speed 53.29 f/s
114410: done 115 games, mean reward -20.320, speed 113.48 f/s
114788: done 116 games, mean reward -20.300, speed 54.79 f/s
114816: done 114 games, mean reward -20.290, speed 54.59 f/s
114852: done 116 games, mean reward -20.210, speed 54.56 f/s
115016: done 115 games, mean reward -20.300, speed 46.62 f/s
115025: done 117 games, mean reward -20.300, speed 52.02 f/s
115028: done 117 games, mean reward -20.210, speed 51.45 f/s
115079: done 116 games, mean reward -20.280, speed 51.70 f/s
115479: done 118 games, mean reward -20.300, speed 55.15 f/s
116067: done 116 games, mean reward -20.310, speed 54.61 f/s
116587: done 117 games, mean reward -20.310, speed 55.02 f/s
116795: done 118 games, mean reward -20.290, speed 57.64 f/s
116888: done 117 games, mean reward -20.250, speed 55.02 f/s
