(reinforcement) C:\Users\Kelvin\Desktop\reinforcement learning\Chapter 7>python 03_dqn_double.py --cuda --double
592649: done 334 games, mean reward 16.010, speed 52.49 f/s, eps 0.02
594500: done 335 games, mean reward 16.040, speed 52.11 f/s, eps 0.02
596331: done 336 games, mean reward 16.020, speed 52.27 f/s, eps 0.02
598489: done 337 games, mean reward 16.120, speed 52.58 f/s, eps 0.02
600443: done 338 games, mean reward 16.230, speed 52.31 f/s, eps 0.02
602266: done 339 games, mean reward 16.240, speed 52.21 f/s, eps 0.02
603897: done 340 games, mean reward 16.300, speed 52.36 f/s, eps 0.02
605671: done 341 games, mean reward 16.300, speed 52.09 f/s, eps 0.02
607494: done 342 games, mean reward 16.350, speed 52.38 f/s, eps 0.02
609419: done 343 games, mean reward 16.520, speed 52.32 f/s, eps 0.02
611232: done 344 games, mean reward 16.560, speed 52.35 f/s, eps 0.02
613060: done 345 games, mean reward 16.610, speed 52.34 f/s, eps 0.02
615249: done 346 games, mean reward 16.720, speed 52.32 f/s, eps 0.02
617280: done 347 games, mean reward 16.700, speed 52.49 f/s, eps 0.02
619457: done 348 games, mean reward 16.660, speed 52.02 f/s, eps 0.02
621782: done 349 games, mean reward 16.610, speed 51.75 f/s, eps 0.02
623787: done 350 games, mean reward 16.590, speed 51.99 f/s, eps 0.02
626064: done 351 games, mean reward 16.560, speed 52.20 f/s, eps 0.02
627820: done 352 games, mean reward 16.560, speed 52.07 f/s, eps 0.02
629699: done 353 games, mean reward 16.630, speed 52.32 f/s, eps 0.02
631424: done 354 games, mean reward 16.730, speed 52.14 f/s, eps 0.02
633454: done 355 games, mean reward 16.720, speed 52.37 f/s, eps 0.02
635444: done 356 games, mean reward 17.000, speed 52.14 f/s, eps 0.02
637261: done 357 games, mean reward 17.040, speed 52.16 f/s, eps 0.02
639215: done 358 games, mean reward 17.020, speed 52.42 f/s, eps 0.02
641410: done 359 games, mean reward 17.100, speed 52.16 f/s, eps 0.02
643288: done 360 games, mean reward 17.100, speed 51.86 f/s, eps 0.02
645133: done 361 games, mean reward 17.110, speed 52.02 f/s, eps 0.02
646763: done 362 games, mean reward 17.190, speed 51.85 f/s, eps 0.02
648554: done 363 games, mean reward 17.220, speed 52.66 f/s, eps 0.02
650282: done 364 games, mean reward 17.210, speed 52.43 f/s, eps 0.02
652735: done 365 games, mean reward 17.160, speed 52.46 f/s, eps 0.02
654905: done 366 games, mean reward 17.210, speed 52.05 f/s, eps 0.02
656940: done 367 games, mean reward 17.160, speed 52.31 f/s, eps 0.02
658953: done 368 games, mean reward 17.170, speed 52.46 f/s, eps 0.02
660811: done 369 games, mean reward 17.140, speed 52.34 f/s, eps 0.02
662666: done 370 games, mean reward 17.130, speed 52.42 f/s, eps 0.02
664604: done 371 games, mean reward 17.110, speed 52.20 f/s, eps 0.02
666523: done 372 games, mean reward 17.110, speed 52.29 f/s, eps 0.02
668275: done 373 games, mean reward 17.150, speed 52.53 f/s, eps 0.02
670141: done 374 games, mean reward 17.190, speed 51.90 f/s, eps 0.02
671940: done 375 games, mean reward 17.280, speed 51.20 f/s, eps 0.02
673883: done 376 games, mean reward 17.270, speed 48.62 f/s, eps 0.02
675781: done 377 games, mean reward 17.360, speed 48.69 f/s, eps 0.02
677472: done 378 games, mean reward 17.360, speed 48.00 f/s, eps 0.02
679356: done 379 games, mean reward 17.340, speed 46.61 f/s, eps 0.02
681455: done 380 games, mean reward 17.320, speed 49.38 f/s, eps 0.02
683684: done 381 games, mean reward 17.300, speed 44.48 f/s, eps 0.02
685373: done 382 games, mean reward 17.330, speed 44.62 f/s, eps 0.02
